sp,x,y
sp19,-48.913889,-10.25
sp19,-47.864722,-15.877222
sp19,-43.811944,-18.4175
sp19,-43.71440125,-19.16889954
sp19,-46.856861,-12.991528
sp19,-43.60029984,-18.24939919
sp19,-47.50999832,-14.13249969
sp19,-55.74969864,-15.4605999
sp19,-46.85390091,-20.34390068
sp19,-43.74079895,-18.45439911
sp19,-43.74499893,-19.5135994
sp19,-48.421361,-15.751889
sp19,-45.962306,-15.383722
sp19,-43.498778,-18.261694
sp19,-44.388972,-17.763778
sp19,-44.386056,-17.716083
sp19,-43.592194,-19.386278
sp19,-41.961528,-13.528306
sp19,-41.907028,-13.526556
sp19,-47.460278,-20.247778
sp19,-47.437778,-13.917167
sp19,-47.499422,-13.975092
sp19,-47.671625,-14.128222
sp19,-47.687272,-14.130167
sp19,-47.523875,-14.008483
sp19,-43.088928,-17.143067
sp19,-46.651,-16.199778
sp19,-45.976306,-15.785
sp19,-47.64725,-16.727694
sp19,-48.836222,-15.800833
sp19,-43.704667,-19.141528
sp19,-43.329917,-17.089111
sp19,-42.819639,-15.841222
sp19,-47.400306,-13.892722
sp19,-43.737472,-18.850917
sp19,-43.354528,-17.106389
sp19,-44.207444,-17.746944
sp19,-44.295611,-17.704528
sp19,-47.637528,-15.735528
sp19,-47.770444,-14.164833
sp19,-48.778139,-15.822917
sp19,-43.961083,-20.285389
sp19,-43.47975,-18.48075
sp19,-43.903611,-18.597278
sp19,-44.257944,-17.870694
sp19,-41.94825,-13.519333
sp19,-41.889139,-13.300139
sp19,-41.833333,-13.366667
sp19,-43.566278,-18.272972
sp19,-43.449167,-18.460139
sp19,-47.610972,-14.161444
sp19,-47.6372,-16.706683
sp19,-47.601222,-16.743944
sp19,-48.774167,-15.848222
sp19,-43.497972,-19.219389
sp19,-43.554861,-19.260194
sp19,-43.589472,-19.285667
sp19,-43.335861,-18.186694
sp19,-43.334472,-18.215972
sp19,-43.563028,-19.293472
sp19,-43.562,-19.303944
sp19,-43.621,-18.254472
sp19,-47.642667,-16.716028
sp19,-43.766597,-17.922189
sp19,-43.780194,-17.913833
sp19,-43.755842,-17.88655
sp19,-43.624417,-18.199222
sp19,-43.594972,-18.213444
sp19,-42.800825,-15.245175
sp19,-43.786056,-18.088944
sp19,-43.587278,-19.295333
sp19,-43.816667,-18.833333
sp19,-43.583333,-19.333333
sp19,-47.250861,-20.262111
sp19,-52.656083,-17.153028
sp19,-46.41925,-20.267667
sp19,-47.378722,-19.906972
sp19,-50.189417,-16.068472
sp19,-52.290472,-17.667056
sp19,-52.620083,-17.610056
sp19,-48.891444,-15.809167
sp19,-51.403222,-16.618472
sp19,-48.563389,-17.966972
sp19,-47.190056,-20.310639
sp19,-47.930461,-19.72285
sp19,-55.839194,-15.389222
sp19,-47.616667,-16.766667
sp19,-43.41529846,-19.95940018
sp19,-44.17219925,-17.75749969
sp19,-48.7757988,-15.79440022
sp19,-41.39,-12.5631
sp19,-41.7728,-13.1519
sp19,-50.14030075,-15.9343996
sp19,-47.26470184,-13.77639961
sp19,-47.9,-15.95
sp19,-47.5416666,-14.1055556
sp19,-51.71440125,-17.88139915
sp19,-48.01667,-15.86667
sp19,-48.01667,-15.91667
sp19,-50.21500015,-16.12669945
sp19,-51.09360123,-16.61919975
sp19,-43.506667,-4.615556
sp19,-48.0,-17.0
sp19,-47.0,-14.0
sp19,-42.87469864,-15.15499973
sp19,-42.410158,-14.069036
sp19,-43.902778,-18.614167
sp19,-48.183333,-15.916667
sp19,-57.572778,-17.907778
sp19,-47.5,-14.5
sp19,-43.85139847,-19.7696991
sp19,-47.434025,-13.928413
sp19,-43.792222,-17.903611
sp19,-47.739722,-15.674444
sp19,-47.509444,-14.072778
sp19,-47.5,-13.766667
sp19,-49.608889,-16.423611
sp19,-47.929722,-15.779722
sp19,-48.003889,-15.9125
sp19,-48.625,-17.741667
sp19,-48.959167,-15.8525
sp19,-44.99,-12.152778
sp19,-47.933333,-15.883333
sp19,-48.878333,-15.8075
sp19,-47.945571,-15.95384
sp19,-47.854875,-15.87869
sp19,-47.684444,-16.721667
sp19,-48.053889,-16.04
sp19,-48.003889,-14.9125
sp19,-47.37,-16.46
sp19,-47.411389,-14.074722
sp19,-47.295833,-13.583056
sp19,-47.401667,-14.074167
sp19,-47.261667,-13.550278
sp19,-47.360556,-16.443889
sp19,-47.381389,-16.4225
sp19,-51.241111,-16.370556
sp19,-52.392222,-17.087222
sp19,-52.367222,-17.359722
sp19,-52.1725,-17.400278
sp19,-47.3125,-14.003056
sp19,-47.645833,-16.6875
sp19,-47.110556,-20.3075
sp19,-55.764444,-15.440278
sp19,-48.773611,-15.813889
sp19,-47.1125,-20.179722
sp19,-47.273611,-20.145278
sp19,-47.555,-19.432222
sp19,-48.334722,-17.576111
sp19,-47.150278,-20.154444
sp19,-55.502222,-15.232222
sp19,-47.655556,-14.116667
sp19,-47.224444,-19.538611
sp19,-48.496944,-15.480278
sp19,-46.246944,-20.156389
sp19,-50.108056,-16.040556
sp19,-48.528889,-15.483333
sp19,-48.464167,-15.488333
sp19,-48.556389,-15.503889
sp19,-48.926667,-15.839722
sp19,-44.193056,-17.708333
sp19,-47.555,-19.214167
sp19,-48.022778,-19.050556
sp19,-43.618144,-19.349774
sp19,-43.040919,-16.856388
sp19,-47.828708,-15.861413
sp19,-43.77695,-17.806117
sp19,-59.666667,-18.266667
