sp,x,y
sp36,-43.896111,-18.587222
sp36,-43.745,-19.513611
sp36,-44.6945,-21.473944
sp36,-41.907028,-13.526556
sp36,-43.563028,-19.293472
sp36,-42.915072,-16.588811
sp36,-43.342306,-18.090722
sp36,-43.79309845,-21.84250069
sp36,-44.257944,-17.870694
sp36,-38.287222,-12.755028
sp36,-44.279056,-17.704
sp36,-41.761467,-13.15035
sp36,-44.287472,-17.692611
sp36,-43.30889893,-17.06469917
sp36,-41.7728,-13.1519
sp36,-43.329667,-18.39525
sp36,-47.807362,-14.146828
sp36,-41.85,-13.383333
sp36,-42.991772,-16.878111
sp36,-43.319778,-18.4015
sp36,-43.542722,-18.179333
sp36,-43.590306,-19.3005
sp36,-41.5,-12.6
sp36,-44.645,-21.466194
sp36,-41.39,-12.5631
sp36,-43.586528,-19.391556
sp36,-47.9297223,-15.7797223
sp36,-43.557556,-19.261639
sp36,-43.80139923,-20.25329971
sp36,-43.786056,-18.088944
sp36,-45.098822,-21.338561
sp36,-41.386944,-12.997778
sp36,-43.566278,-18.272972
sp36,-44.001556,-22.019806
sp36,-46.567361,-20.184361
sp36,-44.64250183,-21.48749924
sp36,-40.6,-11.416667
sp36,-43.334917,-18.2965
sp36,-46.528591,-20.30008
sp36,-44.11623,-21.057158
sp36,-46.4675,-20.220528
sp36,-47.400306,-13.892722
sp36,-43.563056,-18.364806
sp36,-46.512521,-20.324561
sp36,-43.301944,-16.343611
sp36,-43.51125,-19.247611
sp36,-41.414694,-12.597778
sp36,-43.742472,-19.048583
sp36,-43.783611,-17.915444
sp36,-41.55889893,-12.52890015
sp36,-42.80425,-15.819
sp36,-40.3608017,-10.74170017
sp36,-41.95,-13.520556
sp36,-41.81140137,-13.57890034
sp36,-44.290861,-17.678056
sp36,-43.008028,-16.919056
sp36,-41.965278,-13.528361
sp36,-42.721944,-16.1125
sp36,-43.338374,-18.429736
sp36,-43.583139,-19.285028
sp36,-47.509167,-14.091111
sp36,-42.9,-16.55
sp36,-46.479763,-20.212741
sp36,-43.329917,-17.089111
sp36,-43.37939835,-18.60470009
sp36,-43.42499924,-19.03720093
sp36,-43.722917,-18.855667
sp36,-43.49884,-19.2236
sp36,-44.871952,-19.276503
sp36,-41.3708,-13.0053
sp36,-43.033742,-16.853017
sp36,-43.066167,-16.867806
sp36,-41.898444,-13.382333
sp36,-40.373056,-10.661667
sp36,-43.351111,-19.233056
sp36,-43.586125,-19.230706
sp36,-43.624417,-18.199222
sp36,-43.69189835,-20.52079964
sp36,-43.340278,-19.202222
sp36,-41.163417,-13.3265
sp36,-37.355833,-10.773056
sp36,-43.01074919,-16.8759505
sp36,-43.594972,-18.213444
sp36,-46.538028,-20.309639
sp36,-41.873722,-13.438472
sp36,-43.464972,-20.123167
sp36,-43.322194,-17.081583
sp36,-41.95,-13.55
sp36,-44.17810059,-21.11030006
sp36,-42.838003,-15.699017
sp36,-43.542833,-19.319944
sp36,-41.889139,-13.300139
sp36,-43.5080986,-20.28750038
sp36,-41.85,-13.3
sp36,-43.893904,-21.708929
sp36,-42.776803,-15.799814
sp36,-41.428333,-12.462778
sp36,-46.36579895,-20.24530029
sp36,-43.606989,-17.885764
sp36,-41.854167,-13.316111
sp36,-43.903611,-18.597278
sp36,-43.337889,-18.407056
sp36,-43.39080048,-18.00419998
sp36,-46.742756,-23.985851
sp36,-43.567222,-19.339167
sp36,-43.714444,-19.168889
sp36,-43.5715,-20.445639
sp36,-43.8,-20.2
