sp,x,y
sp11,-41.54,-13.16
sp11,-43.72,-19.025833
sp11,-41.916667,-13.25
sp11,-44.18000031,-17.87330055
sp11,-43.298889,-19.132778
sp11,-43.42499924,-19.03720093
sp11,-43.751469,-18.807567
sp11,-43.334722,-19.173611
sp11,-43.555,-19.497222
sp11,-41.855556,-13.329444
sp11,-43.9,-18.916667
sp11,-43.85139847,-19.7696991
sp11,-43.325833,-19.191944
sp11,-43.509056,-19.230611
sp11,-43.315278,-19.153611
sp11,-41.77280045,-13.15190029
sp11,-48.400278,-28.098611
sp11,-43.351667,-19.065556
sp11,-42.88970184,-16.55940056
sp11,-41.88,-13.27
sp11,-44.17219925,-17.75749969
sp11,-41.883611,-13.378333
sp11,-43.93780136,-19.92079926
sp11,-43.714444,-19.035278
sp11,-43.645,-19.094444
sp11,-41.8325,-13.131111
sp11,-39.023611,-13.714167
sp11,-43.039444,-16.855278
sp11,-41.5525,-13.041944
sp11,-43.58,-19.1025
sp11,-41.9,-13.266667
sp11,-43.588028,-19.11575
sp11,-41.663611,-13.249722
sp11,-39.0,-14.1
sp11,-43.745,-19.513611
sp11,-43.49884,-19.2236
sp11,-43.66970062,-19.87999916
sp11,-43.547222,-19.103333
sp11,-43.552222,-19.5075
sp11,-43.320278,-19.164722
sp11,-41.45,-13.24
sp11,-41.52,-13.17
sp11,-41.923333,-13.071944
sp11,-41.81140137,-13.57890034
sp11,-43.1925,-18.125556
sp11,-43.549833,-19.322056
sp11,-41.853611,-13.408333
sp11,-43.526222,-19.323028
sp11,-41.866667,-13.283333
sp11,-41.9,-13.066667
sp11,-41.45,-13.521389
sp11,-43.583333,-19.166667
sp11,-41.383333,-13.0
sp11,-43.60029984,-18.24939919
sp11,-38.80111,-13.14167
sp11,-43.554722,-19.253333
sp11,-41.75,-13.4
sp11,-43.323583,-17.079667
sp11,-43.523056,-19.493056
sp11,-43.559611,-19.300094
sp11,-43.1925,-17.044722
sp11,-42.491667,-13.075556
sp11,-41.878611,-13.3975
sp11,-43.629733,-19.336727
