sp,x,y
sp17,-47.256944,-13.553333
sp17,-49.7057991,-24.25110054
sp17,-47.428333,-13.9218
sp17,-49.94860077,-24.52610016
sp17,-43.30889893,-17.06469917
sp17,-43.361528,-18.149472
sp17,-52.948056,-18.256667
sp17,-51.832778,-16.949444
sp17,-48.0,-16.03
sp17,-49.742889,-25.441861
sp17,-47.51,-14.1325
sp17,-43.541389,-18.355
sp17,-52.892306,-18.268806
sp17,-45.592778,-12.584444
sp17,-46.797778,-15.724722
sp17,-47.265833,-10.533889
sp17,-42.4775,-15.490833
sp17,-43.74499893,-19.5135994
sp17,-47.92969894,-15.77970028
sp17,-49.34000015,-24.11000061
sp17,-49.443333,-25.263056
sp17,-42.88970184,-16.55940056
sp17,-48.95920181,-15.85249996
sp17,-47.449889,-10.894417
sp17,-41.761467,-13.15035
sp17,-43.335833,-18.162222
sp17,-48.064722,-16.019722
sp17,-43.214167,-18.085833
sp17,-43.792222,-17.915
sp17,-47.743333,-19.553117
sp17,-46.538028,-20.309639
sp17,-43.474167,-18.020278
sp17,-49.46360016,-24.1128006
sp17,-42.545556,-16.352222
sp17,-47.714167,-16.91
sp17,-41.66360092,-13.24969959
sp17,-43.470833,-17.55
sp17,-43.370416,-17.035852
sp17,-52.533333,-18.156667
sp17,-44.171389,-17.413333
sp17,-46.195833,-14.121389
sp17,-46.332572,-14.203506
sp17,-43.804722,-17.919444
sp17,-43.377222,-18.156944
sp17,-47.436111,-13.925833
sp17,-52.55110168,-17.56940079
sp17,-41.85,-13.366667
sp17,-43.566278,-18.272972
sp17,-55.74969864,-15.4605999
sp17,-55.80725,-15.415111
sp17,-43.035833,-16.516389
sp17,-48.05,-16.03
sp17,-43.002778,-16.550833
sp17,-43.008056,-16.919167
sp17,-53.588889,-18.434806
sp17,-43.961083,-20.285389
sp17,-43.563056,-18.364806
sp17,-59.95059967,-15.00809956
sp17,-44.287472,-17.692611
sp17,-44.122778,-17.445
sp17,-43.60029984,-18.24939919
sp17,-43.795,-18.034167
sp17,-47.443611,-19.331111
